,country,iso3Code,region,continent,sub-region,immigration_flow,immigration_100k
172,St. Vincent and the Grenadines,VCT,Latin America & Caribbean ,Latin America & Caribbean ,,3195,3076.400899811155
173,Sudan,SDN,Sub-Saharan Africa ,Africa,Eastern Africa,11300,24.56286382841996
174,Suriname,SUR,Latin America & Caribbean ,South America,,15,2.464564694207082
175,Sweden,SWE,Europe & Central Asia,Europe,,1990,19.36086995490936
176,Switzerland,CHE,Europe & Central Asia,Europe,,2195,25.47782492674654
177,Syrian Arab Republic,SYR,Middle East & North Africa,Asia,,115160,551.3842075957232
178,Tajikistan,TJK,Europe & Central Asia,Asia,,320,3.321349015203799
179,Tanzania,TZA,Sub-Saharan Africa ,Africa,Eastern Africa,2065,3.4329300313832976
180,Thailand,THA,East Asia & Pacific,Asia,,4710,6.590581620192274
181,Timor-Leste,TLS,East Asia & Pacific,Asia,,0,0.0
182,Togo,TGO,Sub-Saharan Africa ,Africa,Western Africa,4375,51.035697297597125
183,Tonga,TON,East Asia & Pacific,Oceania,,0,0.0
184,Trinidad and Tobago,TTO,Latin America & Caribbean ,Latin America & Caribbean ,,4475,328.40107935711177
185,Tunisia,TUN,Middle East & North Africa,Africa,North Africa,25840,217.2290847676921
186,Turkiye,TUR,Europe & Central Asia,Europe,,21520,26.029036708833925
187,Turkmenistan,TKM,Europe & Central Asia,Asia,,105,1.5282965192173463
188,Turks and Caicos Islands,TCA,Latin America & Caribbean ,Latin America & Caribbean ,,0,0.0
189,Tuvalu,TUV,East Asia & Pacific,Oceania,,0,0.0
190,Uganda,UGA,Sub-Saharan Africa ,Africa,Eastern Africa,4380,10.014879126496755
191,Ukraine,UKR,Europe & Central Asia,Europe,,33470,76.7265712179639
192,United Arab Emirates,ARE,Middle East & North Africa,Asia,,50,0.5229734113519015
193,United Kingdom,GBR,Europe & Central Asia,Europe,,51375,76.79147662590113
194,United States,USA,North America,North America,,95665,29.043032779557535
195,Uruguay,URY,Latin America & Caribbean ,South America,,335,9.87686424891349
196,Uzbekistan,UZB,Europe & Central Asia,Asia,,1565,4.691541155418741
197,Vanuatu,VUT,East Asia & Pacific,Oceania,,0,0.0
198,"Venezuela, RB",VEN,Latin America & Caribbean ,South America,,15875,54.442763801565356
199,Viet Nam,VNM,East Asia & Pacific,Asia,,41975,43.07141932030851
200,West Bank and Gaza,PSE,Middle East & North Africa,Asia,,6025,126.80309329043003
201,"Yemen, Rep.",YEM,Middle East & North Africa,Asia,,6030,16.909389253506163
202,Zambia,ZMB,Sub-Saharan Africa ,Africa,Eastern Africa,620,3.298243919181959
203,Zimbabwe,ZWE,Sub-Saharan Africa ,Africa,Eastern Africa,4705,30.48944172665759
